QUARTER_YEAR	QUALITY_DESC	ISO2 (Declarant)	ISO2 (Partner)	Quantity (mt)	Value (€)	Price (€/t) (f)
Q1 - 2026	White sugar	FR	MA	446	€ 246,861	€ 497
Q1 - 2026	White sugar	FR	MU	2,799	€ 1,562,485	€ 552
Q1 - 2026	White sugar	FR	TN	1	€ 3,019	
Q1 - 2026	White sugar	GB	MU	131	€ 98,462	
Q1 - 2026	White sugar	GR	MU	264	€ 134,640	€ 510
Q1 - 2026	White sugar	IT	EG	1,104	€ 549,111	€ 497
Q1 - 2026	White sugar	IT	MA	355	€ 198,875	€ 526
Q1 - 2026	White sugar	IT	MU	274	€ 189,340	
Q1 - 2026	White sugar	SI	MU	6	€ 8,398	
Q2 - 2023	Beet molasses	ES	EG	18,272	€ 4,984,878	€ 273
Q2 - 2023	Beet molasses	GB	EG	1,200	€ 203,120	€ 169
Q2 - 2023	Beet molasses	IT	EG	17,473	€ 4,961,158	€ 283
Q2 - 2023	Beet molasses	PT	EG	4,702	€ 1,276,301	€ 271
Q2 - 2023	Cane molasses	BE	EG	1	€ 2,343	
Q2 - 2023	Cane molasses	FR	EG	7	€ 12,153	
Q2 - 2023	Cane molasses	FR	MA	2,593	€ 901,426	€ 348
Q2 - 2023	Cane molasses	GB	EG	1,816	€ 322,574	€ 171
Q2 - 2023	Cane molasses	GR	EG	1	€ 1,720	
Q2 - 2023	Cane molasses	IT	EG	7	€ 3,615	
Q2 - 2023	Cane molasses	NL	EG	0	€ 90	
Q2 - 2023	Cane molasses	PL	MU	2	€ 2,786	
Q2 - 2023	Cane molasses	SI	EG	1	€ 1,448	
Q2 - 2023	Caramel	FR	DZ	0	€ 1,121	
Q2 - 2023	Caramel	FR	SZ	0	€ 10,877	
Q2 - 2023	DC raws (centrifugal)	AT	MU	648	€ 568,079	€ 882
Q2 - 2023	DC raws (centrifugal)	BE	MU	2,610	€ 2,079,855	€ 789
Q2 - 2023	DC raws (centrifugal)	BE	SZ	839	€ 501,395	€ 602
Q2 - 2023	DC raws (centrifugal)	BG	MU	338	€ 296,100	
Q2 - 2023	DC raws (centrifugal)	BG	MZ	161	€ 131,101	
Q2 - 2023	DC raws (centrifugal)	BG	SZ	3,127	€ 2,036,811	€ 646
Q2 - 2023	DC raws (centrifugal)	CY	MU	1	€ 1,691	
Q2 - 2023	DC raws (centrifugal)	CZ	MU	324	€ 259,636	
Q2 - 2023	DC raws (centrifugal)	CZ	MZ	20	€ 12,756	
Q2 - 2023	DC raws (centrifugal)	CZ	SZ	215	€ 155,220	€ 722
Q2 - 2023	DC raws (centrifugal)	DE	MU	3,092	€ 2,482,254	€ 807
Q2 - 2023	DC raws (centrifugal)	DE	SZ	516	€ 332,134	€ 644
Q2 - 2023	DC raws (centrifugal)	EE	MU	15	€ 23,176	
Q2 - 2023	DC raws (centrifugal)	ES	MU	1,037	€ 824,507	€ 789
Q2 - 2023	DC raws (centrifugal)	ES	SZ	1,315	€ 884,590	€ 664
Q2 - 2023	DC raws (centrifugal)	ES	ZA	972	€ 637,693	€ 656
Q2 - 2023	DC raws (centrifugal)	FI	MU	132	€ 123,108	
Q2 - 2023	DC raws (centrifugal)	FR	MA	0	€ 165	
Q2 - 2023	DC raws (centrifugal)	FR	MG	15	€ 35,526	
Q2 - 2023	DC raws (centrifugal)	FR	MU	980	€ 784,877	€ 801
Q2 - 2023	DC raws (centrifugal)	FR	SZ	166	€ 123,328	
Q2 - 2023	DC raws (centrifugal)	GB	MU	4,256	€ 3,799,177	€ 844
Q2 - 2023	DC raws (centrifugal)	GB	MZ	25	€ 22,985	
Q2 - 2023	DC raws (centrifugal)	GR	MU	658	€ 543,241	€ 824
Q2 - 2023	DC raws (centrifugal)	HR	MU	50	€ 39,850	
Q2 - 2023	DC raws (centrifugal)	HR	SZ	91	€ 65,348	
Q2 - 2023	DC raws (centrifugal)	IE	MU	2	€ 4,390	
Q2 - 2023	DC raws (centrifugal)	IT	MU	5,591	€ 6,156,682	€ 1,090
Q2 - 2023	DC raws (centrifugal)	IT	MW	102	€ 63,230	
Q2 - 2023	DC raws (centrifugal)	IT	SZ	3,787	€ 2,806,829	€ 748
Q2 - 2023	DC raws (centrifugal)	LT	MU	389	€ 298,201	€ 867
Q2 - 2023	DC raws (centrifugal)	LT	SZ	22	€ 18,877	
Q2 - 2023	DC raws (centrifugal)	LV	MU	24	€ 18,705	
Q2 - 2023	DC raws (centrifugal)	MT	MU	3	€ 7,622	
Q2 - 2023	DC raws (centrifugal)	NL	MU	90	€ 79,366	
Q2 - 2023	DC raws (centrifugal)	NL	SZ	194	€ 124,892	
Q2 - 2023	DC raws (centrifugal)	PL	MU	1,044	€ 863,589	€ 830
Q2 - 2023	DC raws (centrifugal)	PL	SZ	196	€ 145,248	
Q2 - 2023	DC raws (centrifugal)	PT	MU	172	€ 137,564	
Q2 - 2023	DC raws (centrifugal)	PT	MW	3	€ 5,558	
Q2 - 2023	DC raws (centrifugal)	PT	MZ	1	€ 203	
Q2 - 2023	DC raws (centrifugal)	PT	ZA	4	€ 1,833	
Q2 - 2023	DC raws (centrifugal)	RO	MU	262	€ 222,545	€ 847
Q2 - 2023	DC raws (centrifugal)	RO	SZ	297	€ 214,362	
Q2 - 2023	DC raws (centrifugal)	SE	MU	388	€ 375,123	€ 937
Q2 - 2023	DC raws (centrifugal)	SI	MU	61	€ 52,580	
Q2 - 2023	DC raws (non-centrifugal)	IE	MU	202	€ 212,884	
Q2 - 2023	DC raws (non-centrifugal)	IE	MW	0	€ 865	
Q2 - 2023	Glucose	BE	EG	60	€ 63,252	
Q2 - 2023	Glucose	DE	SD	3	€ 3,430	
Q2 - 2023	Glucose	FR	DZ	16	€ 13,376	
Q2 - 2023	Glucose	GR	EG	26	€ 14,344	
Q2 - 2023	Glucose	IT	EG	192	€ 98,109	
Q2 - 2023	Glucose	RO	EG	105	€ 54,228	
Q2 - 2023	Inulin	GB	EG	2	€ 4,718	
Q2 - 2023	Invert sugars	DE	MA	17	€ 28,319	
Q2 - 2023	Invert sugars	ES	EG	50	€ 55,000	
Q2 - 2023	Invert sugars	ES	MA	24	€ 28,174	
Q2 - 2023	Invert sugars	FR	DZ	50	€ 21,962	
Q2 - 2023	Invert sugars	FR	TZ	0	€ 41	
Q2 - 2023	Invert sugars	GB	EG	6	€ 10,548	
Q2 - 2023	Invert sugars	IE	SZ	9	€ 16,506	
Q2 - 2023	Invert sugars	NL	ZA	1	€ 1,523	
Q2 - 2023	Invert sugars	SE	MA	0	€ 424	
Q2 - 2023	Isoglucose	FR	DZ	0	€ 195	
Q2 - 2023	Maltodextrine	ES	EG	25	€ 19,345	
Q2 - 2023	Maltodextrine	GR	EG	5	€ 4,032	
Q2 - 2023	Raw sugar for refining	BE	ZA	20,000	€ 13,073,400	€ 654
Q2 - 2023	Raw sugar for refining	BG	SZ	27,060	€ 17,002,359	€ 628
Q2 - 2023	Raw sugar for refining	ES	ZA	29,000	€ 18,746,880	€ 646
Q2 - 2023	Raw sugar for refining	GB	ZA	32,000	€ 17,174,596	€ 537
Q2 - 2023	Raw sugar for refining	IT	MZ	4,977	€ 3,090,202	€ 621
Q2 - 2023	Raw sugar for refining	IT	SZ	28,003	€ 17,151,330	€ 612
Q2 - 2023	Raw sugar for refining	PT	MZ	6,333	€ 3,013,148	€ 476
Q2 - 2023	Raw sugar for refining	PT	SZ	22,025	€ 10,478,534	€ 476
Q2 - 2023	White sugar	BE	MA	27	€ 27,194	
Q2 - 2023	White sugar	BE	MU	170	€ 149,389	
Q2 - 2023	White sugar	BE	MZ	69	€ 69,917	
Q2 - 2023	White sugar	BE	SZ	796	€ 599,163	€ 753
Q2 - 2023	White sugar	BG	MU	117	€ 100,650	
Q2 - 2023	White sugar	CY	MA	1,256	€ 1,015,612	€ 815
Q2 - 2023	White sugar	CY	MU	294	€ 283,336	€ 959
Q2 - 2023	White sugar	DE	MU	409	€ 335,608	
Q2 - 2023	White sugar	DE	MZ	49	€ 49,815	
Q2 - 2023	White sugar	EE	MU	5	€ 8,189	
Q2 - 2023	White sugar	ES	EG	7,998	€ 4,916,998	€ 615
Q2 - 2023	White sugar	ES	MA	12,386	€ 7,051,582	€ 569
Q2 - 2023	White sugar	ES	MU	9,287	€ 6,879,936	€ 745
Q2 - 2023	White sugar	ES	MZ	24	€ 27,168	
Q2 - 2023	White sugar	ES	SZ	258	€ 186,800	
Q2 - 2023	White sugar	FR	DZ	3	€ 5,440	
Q2 - 2023	White sugar	FR	MA	300	€ 209,646	€ 628
Q2 - 2023	White sugar	FR	MU	3,533	€ 2,869,761	€ 816
Q2 - 2023	White sugar	FR	MZ	25	€ 24,128	
Q2 - 2023	White sugar	GB	MU	4,570	€ 3,679,960	€ 822
Q2 - 2023	White sugar	GB	ZA	452	€ 306,870	€ 621
Q2 - 2023	White sugar	GR	EG	1,250	€ 1,102,500	€ 882
Q2 - 2023	White sugar	GR	MU	744	€ 606,032	€ 807
Q2 - 2023	White sugar	IE	MU	6	€ 11,567	
Q2 - 2023	White sugar	IT	EG	9,311	€ 6,588,711	€ 716
Q2 - 2023	White sugar	IT	MA	159	€ 148,009	
Q2 - 2023	White sugar	IT	MU	13,015	€ 10,516,948	€ 822
Q2 - 2023	White sugar	IT	MZ	635	€ 628,279	€ 1,083
Q2 - 2023	White sugar	IT	SZ	387	€ 331,960	€ 840
Q2 - 2023	White sugar	IT	TZ	1	€ 1,527	
Q2 - 2023	White sugar	IT	UG	240	€ 248,400	
Q2 - 2023	White sugar	IT	ZA	22	€ 15,007	
Q2 - 2023	White sugar	LT	MU	100	€ 88,000	
Q2 - 2023	White sugar	LV	MZ	23	€ 27,291	
Q2 - 2023	White sugar	MT	MU	603	€ 575,754	€ 958
Q2 - 2023	White sugar	NL	MU	0	€ 112	
Q2 - 2023	White sugar	NL	MZ	351	€ 349,830	€ 1,033
Q2 - 2023	White sugar	NL	UG	264	€ 273,240	€ 1,035
Q2 - 2023	White sugar	PL	MU	44	€ 34,518	
Q2 - 2023	White sugar	PT	MW	5	€ 13,018	
Q2 - 2023	White sugar	RO	EG	624	€ 294,096	€ 471
Q2 - 2023	White sugar	SE	ZA	1	€ 2,740	
Q2 - 2024	Beet molasses	CY	EG	100	€ 30,193	
Q2 - 2024	Beet molasses	ES	EG	26,402	€ 3,858,174	€ 157
Q2 - 2024	Beet molasses	FR	DZ	0	€ 192	
Q2 - 2024	Beet molasses	IT	EG	7,110	€ 1,349,370	€ 184
Q2 - 2024	Beet molasses	PT	EG	9,394	€ 1,768,519	€ 170
Q2 - 2024	Beet molasses	PT	ZA	1	€ 330	
Q2 - 2024	Cane molasses	BE	EG	5	€ 8,406	
Q2 - 2024	Cane molasses	ES	EG	3,025	€ 603,750	€ 190
Q2 - 2024	Cane molasses	FR	DZ	570	€ 58,329	
Q2 - 2024	Cane molasses	FR	EG	14	€ 22,279	
Q2 - 2024	Cane molasses	GB	MA	5,800	€ 1,502,043	€ 259
Q2 - 2024	Cane molasses	GB	MZ	20,245	€ 5,753,310	€ 287
Q2 - 2024	Cane molasses	IT	DZ	2,037	€ 541,404	€ 266
Q2 - 2024	Cane molasses	PL	MU	2	€ 2,943	
Q2 - 2024	Caramel	FR	DZ	1	€ 1,404	
Q2 - 2024	Caramel	GB	DZ	2	€ 2,373	
Q2 - 2024	Caramel	GB	EG	7	€ 17,263	
Q2 - 2024	DC raws (beet)	FR	KM	50	€ 56,921	
Q2 - 2024	DC raws (centrifugal)	AT	MU	576	€ 555,551	€ 965
Q2 - 2024	DC raws (centrifugal)	BE	CM	1	€ 700	
Q2 - 2024	DC raws (centrifugal)	BE	MU	1,234	€ 1,031,902	€ 839
Q2 - 2024	DC raws (centrifugal)	BE	MW	231	€ 136,290	€ 590
Q2 - 2024	DC raws (centrifugal)	BE	SZ	3,978	€ 2,921,273	€ 740
Q2 - 2024	DC raws (centrifugal)	BG	MU	202	€ 189,607	
Q2 - 2024	DC raws (centrifugal)	BG	SZ	72	€ 58,340	
Q2 - 2024	DC raws (centrifugal)	CY	MU	1	€ 2,740	
Q2 - 2024	DC raws (centrifugal)	CZ	MU	235	€ 215,042	
Q2 - 2024	DC raws (centrifugal)	CZ	SZ	903	€ 727,321	€ 796
Q2 - 2024	DC raws (centrifugal)	DE	MU	1,136	€ 1,039,040	€ 910
Q2 - 2024	DC raws (centrifugal)	DE	MW	84	€ 74,802	
Q2 - 2024	DC raws (centrifugal)	DE	SZ	1,675	€ 1,294,644	€ 758
Q2 - 2024	DC raws (centrifugal)	EE	MU	10	€ 16,086	
Q2 - 2024	DC raws (centrifugal)	ES	MU	1,505	€ 1,372,698	€ 908
Q2 - 2024	DC raws (centrifugal)	FI	MU	218	€ 216,349	€ 992
Q2 - 2024	DC raws (centrifugal)	FR	MG	16	€ 43,903	
Q2 - 2024	DC raws (centrifugal)	FR	MU	1,598	€ 1,429,433	€ 899
Q2 - 2024	DC raws (centrifugal)	FR	SZ	215	€ 176,164	
Q2 - 2024	DC raws (centrifugal)	GB	MU	3,385	€ 3,221,207	€ 965
Q2 - 2024	DC raws (centrifugal)	GB	MZ	25	€ 25,265	
Q2 - 2024	DC raws (centrifugal)	GB	SZ	215	€ 185,894	
Q2 - 2024	DC raws (centrifugal)	GB	ZA	22	€ 17,620	
Q2 - 2024	DC raws (centrifugal)	GR	MU	576	€ 530,760	€ 919
Q2 - 2024	DC raws (centrifugal)	GR	SZ	244	€ 197,735	€ 812
Q2 - 2024	DC raws (centrifugal)	HR	MU	179	€ 167,708	
Q2 - 2024	DC raws (centrifugal)	HR	SZ	43	€ 35,366	
Q2 - 2024	DC raws (centrifugal)	HU	SZ	65	€ 49,890	
Q2 - 2024	DC raws (centrifugal)	IE	MU	4	€ 8,172	
Q2 - 2024	DC raws (centrifugal)	IT	MU	3,489	€ 3,182,259	€ 897
Q2 - 2024	DC raws (centrifugal)	IT	MW	20	€ 20,000	
Q2 - 2024	DC raws (centrifugal)	IT	MZ	151	€ 114,380	
Q2 - 2024	DC raws (centrifugal)	IT	SZ	3,525	€ 2,710,415	€ 767
Q2 - 2024	DC raws (centrifugal)	LT	MU	593	€ 521,774	€ 854
Q2 - 2024	DC raws (centrifugal)	LV	MU	22	€ 19,780	
Q2 - 2024	DC raws (centrifugal)	MT	MU	24	€ 26,281	
Q2 - 2024	DC raws (centrifugal)	NL	MA	0	€ 210	
Q2 - 2024	DC raws (centrifugal)	NL	MU	21	€ 30,412	
Q2 - 2024	DC raws (centrifugal)	NL	MZ	80	€ 78,875	
Q2 - 2024	DC raws (centrifugal)	NL	SZ	473	€ 326,909	€ 701
Q2 - 2024	DC raws (centrifugal)	PL	MU	1,064	€ 964,378	€ 907
Q2 - 2024	DC raws (centrifugal)	PL	SZ	110	€ 93,149	
Q2 - 2024	DC raws (centrifugal)	PT	MU	885	€ 835,140	€ 949
Q2 - 2024	DC raws (centrifugal)	PT	SZ	258	€ 220,074	
Q2 - 2024	DC raws (centrifugal)	RO	MU	25	€ 22,675	
Q2 - 2024	DC raws (centrifugal)	RO	SZ	1,254	€ 984,534	€ 781
Q2 - 2024	DC raws (centrifugal)	SE	MU	460	€ 491,901	€ 1,012
Q2 - 2024	DC raws (centrifugal)	SI	MU	65	€ 91,404	
Q2 - 2024	DC raws (centrifugal)	SK	MU	50	€ 47,173	
Q2 - 2024	DC raws (non-centrifugal)	FR	MU	0	€ 634	
Q2 - 2024	DC raws (non-centrifugal)	IE	MA	0	€ 741	
Q2 - 2024	DC raws (non-centrifugal)	IE	MU	322	€ 359,133	
Q2 - 2024	Fructose	DE	EG	1	€ 1,011	
Q2 - 2024	Glucose	AT	UG	19	€ 24,510	
Q2 - 2024	Glucose	FR	DZ	7	€ 11,540	
Q2 - 2024	Glucose	PT	EG	24	€ 10,513	
Q2 - 2024	Glucose	RO	EG	105	€ 47,182	
Q2 - 2024	Invert sugars	FR	DZ	7	€ 3,720	
Q2 - 2024	Invert sugars	FR	ZA	0	€ 12,334	
Q2 - 2024	Invert sugars	HR	ZA	0	€ 1,325	
Q2 - 2024	Invert sugars	IE	SZ	20	€ 37,174	
Q2 - 2024	Maltodextrine	DE	EG	25	€ 17,323	
Q2 - 2024	Maltodextrine	ES	EG	25	€ 15,769	
Q2 - 2024	Maltose	FR	DZ	2	€ 185	
Q2 - 2024	Maple sugar	FR	MG	0	€ 500	
Q2 - 2024	Raw sugar for refining	GB	SZ	32,160	€ 21,859,860	
Q2 - 2024	Raw sugar for refining	IT	SZ	31,789	€ 17,509,378	€ 551
Q2 - 2024	White sugar	BE	EG	48	€ 34,172	
Q2 - 2024	White sugar	BE	MA	82	€ 91,650	
Q2 - 2024	White sugar	BE	MU	577	€ 535,871	€ 931
Q2 - 2024	White sugar	BE	MW	252	€ 148,680	€ 590
Q2 - 2024	White sugar	BE	MZ	60	€ 64,056	
Q2 - 2024	White sugar	BG	MU	25	€ 23,250	
Q2 - 2024	White sugar	BG	SZ	24	€ 19,501	
Q2 - 2024	White sugar	CY	EG	1,416	€ 1,034,497	€ 745
Q2 - 2024	White sugar	CY	MA	396	€ 232,140	€ 586
Q2 - 2024	White sugar	CY	MU	28	€ 28,725	
Q2 - 2024	White sugar	DE	MU	326	€ 259,872	
Q2 - 2024	White sugar	DK	SZ	22	€ 19,666	
Q2 - 2024	White sugar	EE	MU	10	€ 16,350	
Q2 - 2024	White sugar	ES	EG	8,214	€ 5,624,556	€ 684
Q2 - 2024	White sugar	ES	MA	11,537	€ 7,795,819	€ 675
Q2 - 2024	White sugar	ES	MU	7,776	€ 6,707,422	€ 863
Q2 - 2024	White sugar	ES	SZ	538	€ 439,381	€ 817
Q2 - 2024	White sugar	FR	DZ	1	€ 1,342	
Q2 - 2024	White sugar	FR	MA	951	€ 789,752	€ 799
Q2 - 2024	White sugar	FR	MU	4,995	€ 4,221,094	€ 828
Q2 - 2024	White sugar	FR	MZ	126	€ 123,450	
Q2 - 2024	White sugar	GB	MU	2,601	€ 2,174,294	€ 831
Q2 - 2024	White sugar	GB	MW	40	€ 35,900	
Q2 - 2024	White sugar	GB	MZ	25	€ 25,996	
Q2 - 2024	White sugar	GB	ZA	50	€ 47,861	
Q2 - 2024	White sugar	GR	MU	50	€ 43,500	
Q2 - 2024	White sugar	HU	MU	0	€ 1,222	
Q2 - 2024	White sugar	IT	EG	4,159	€ 2,681,261	€ 679
Q2 - 2024	White sugar	IT	MA	645	€ 434,869	€ 660
Q2 - 2024	White sugar	IT	MU	3,880	€ 3,090,496	€ 810
Q2 - 2024	White sugar	IT	MZ	160	€ 164,153	
Q2 - 2024	White sugar	IT	SZ	74	€ 61,063	
Q2 - 2024	White sugar	LT	MU	5	€ 4,575	
Q2 - 2024	White sugar	MT	MU	149	€ 153,570	
Q2 - 2024	White sugar	NL	MU	1	€ 2,443	
Q2 - 2024	White sugar	NL	MZ	317	€ 310,228	
Q2 - 2024	White sugar	NL	ZA	85	€ 97,176	
Q2 - 2024	White sugar	PT	MW	6	€ 17,863	
Q2 - 2024	White sugar	PT	ZA	1	€ 330	
Q2 - 2024	White sugar	SE	ZA	0	€ 3,368	
Q2 - 2025	Beet molasses	ES	EG	21,716	€ 2,643,352	
Q2 - 2025	Beet molasses	FR	DZ	0	€ 125	
Q2 - 2025	Beet molasses	GB	EG	9,652	€ 1,812,165	€ 187
Q2 - 2025	Beet molasses	GB	ZA	5	€ 27,315	
Q2 - 2025	Beet molasses	IT	EG	7,649	€ 1,290,349	
Q2 - 2025	Beet molasses	IT	ZA	1	€ 11,160	
Q2 - 2025	Beet molasses	PT	EG	7,170	€ 1,193,772	
Q2 - 2025	Cane molasses	AT	EG	2	€ 3,480	
Q2 - 2025	Cane molasses	CY	EG	2	€ 618	
Q2 - 2025	Cane molasses	DE	EG	146	€ 43,603	
Q2 - 2025	Cane molasses	FR	DZ	414	€ 41,366	
Q2 - 2025	Cane molasses	FR	MA	3,938	€ 890,811	€ 226
Q2 - 2025	Cane molasses	GB	DZ	2,800	€ 914,918	€ 327
Q2 - 2025	Cane molasses	GB	MA	3,000	€ 780,055	€ 260
Q2 - 2025	Cane molasses	GB	ZA	446	€ 65,171	€ 146
Q2 - 2025	Cane molasses	GR	EG	0	€ 175	
Q2 - 2025	Cane molasses	IE	EG	5,150	€ 922,426	€ 179
Q2 - 2025	Cane molasses	IT	EG	20	€ 24,222	
Q2 - 2025	Cane molasses	RO	EG	1	€ 669	
Q2 - 2025	Cane molasses	SI	EG	0	€ 372	
Q2 - 2025	Caramel	FR	DZ	1	€ 1,407	
Q2 - 2025	Caramel	SI	ZA	5	€ 23,897	
Q2 - 2025	DC raws (beet)	LT	MU	50	€ 38,675	
Q2 - 2025	DC raws (centrifugal)	AT	MU	49	€ 42,813	
Q2 - 2025	DC raws (centrifugal)	BE	MU	2,740	€ 2,211,310	€ 807
Q2 - 2025	DC raws (centrifugal)	BE	SZ	4,257	€ 2,968,437	€ 701
Q2 - 2025	DC raws (centrifugal)	BG	MU	585	€ 455,147	€ 749
Q2 - 2025	DC raws (centrifugal)	BG	SZ	22	€ 16,985	
Q2 - 2025	DC raws (centrifugal)	CY	MU	2	€ 3,629	
Q2 - 2025	DC raws (centrifugal)	CZ	MU	1,228	€ 975,848	€ 795
Q2 - 2025	DC raws (centrifugal)	CZ	SZ	22	€ 15,888	
Q2 - 2025	DC raws (centrifugal)	DE	MU	1,709	€ 1,366,791	€ 796
Q2 - 2025	DC raws (centrifugal)	DE	SZ	1,161	€ 893,255	€ 769
Q2 - 2025	DC raws (centrifugal)	ES	MU	2,464	€ 2,007,465	€ 834
Q2 - 2025	DC raws (centrifugal)	ES	SZ	43	€ 33,110	
Q2 - 2025	DC raws (centrifugal)	FI	MU	110	€ 93,830	
Q2 - 2025	DC raws (centrifugal)	FR	MA	0	€ 107	
Q2 - 2025	DC raws (centrifugal)	FR	MG	3	€ 7,640	
Q2 - 2025	DC raws (centrifugal)	FR	MU	2,402	€ 1,922,842	€ 794
Q2 - 2025	DC raws (centrifugal)	FR	SZ	1,068	€ 843,388	€ 787
Q2 - 2025	DC raws (centrifugal)	FR	ZA	2	€ 1,650	
Q2 - 2025	DC raws (centrifugal)	GB	MU	4,090	€ 3,754,167	€ 883
Q2 - 2025	DC raws (centrifugal)	GB	SZ	43	€ 26,459	
Q2 - 2025	DC raws (centrifugal)	GR	MU	926	€ 710,260	€ 770
Q2 - 2025	DC raws (centrifugal)	GR	SZ	495	€ 358,188	€ 723
Q2 - 2025	DC raws (centrifugal)	HR	MU	250	€ 212,750	
Q2 - 2025	DC raws (centrifugal)	HU	MU	1	€ 2,068	
Q2 - 2025	DC raws (centrifugal)	HU	SZ	43	€ 30,324	
Q2 - 2025	DC raws (centrifugal)	IE	MU	6	€ 11,525	
Q2 - 2025	DC raws (centrifugal)	IT	MU	3,412	€ 2,784,014	€ 810
Q2 - 2025	DC raws (centrifugal)	IT	MW	100	€ 90,000	
Q2 - 2025	DC raws (centrifugal)	IT	MZ	144	€ 100,224	
Q2 - 2025	DC raws (centrifugal)	IT	SZ	5,105	€ 3,672,805	€ 720
Q2 - 2025	DC raws (centrifugal)	LT	MU	1,084	€ 909,423	€ 852
Q2 - 2025	DC raws (centrifugal)	LV	MU	66	€ 58,515	
Q2 - 2025	DC raws (centrifugal)	MT	MU	20	€ 22,547	
Q2 - 2025	DC raws (centrifugal)	NL	MU	23	€ 34,780	
Q2 - 2025	DC raws (centrifugal)	NL	SZ	199	€ 135,635	
Q2 - 2025	DC raws (centrifugal)	PL	MU	2,588	€ 2,025,328	€ 779
Q2 - 2025	DC raws (centrifugal)	PT	MU	393	€ 326,319	
Q2 - 2025	DC raws (centrifugal)	RO	MU	74	€ 64,667	
Q2 - 2025	DC raws (centrifugal)	RO	SZ	264	€ 204,430	
Q2 - 2025	DC raws (centrifugal)	SE	MU	415	€ 428,452	€ 974
Q2 - 2025	DC raws (centrifugal)	SI	MU	164	€ 202,921	
Q2 - 2025	DC raws (non-centrifugal)	BE	MU	2	€ 1,980	
Q2 - 2025	DC raws (non-centrifugal)	FR	MU	24	€ 26,407	
Q2 - 2025	DC raws (non-centrifugal)	IE	MU	232	€ 244,127	
Q2 - 2025	DC raws (non-centrifugal)	IE	MW	0	€ 368	
Q2 - 2025	Fructose	NL	EG	8	€ 15,724	
Q2 - 2025	Glucose	BE	MA	4	€ 4,300	
Q2 - 2025	Glucose	FR	DZ	2	€ 2,206	
Q2 - 2025	Glucose	GR	EG	26	€ 10,591	
Q2 - 2025	Invert sugars	FR	DZ	11	€ 4,708	
Q2 - 2025	Invert sugars	FR	TN	2	€ 2,710	
Q2 - 2025	Invert sugars	GB	ZA	0	€ 8,814	
Q2 - 2025	Invert sugars	IE	SZ	5	€ 9,325	
Q2 - 2025	Maltodextrine	ES	EG	25	€ 15,960	
Q2 - 2025	Maple sugar	FR	DZ	4	€ 3,000	
Q2 - 2025	Raw sugar for refining	GB	MZ	38,500	€ 23,295,540	€ 605
Q2 - 2025	White sugar	AT	MU	25	€ 21,235	
Q2 - 2025	White sugar	BE	MA	26	€ 36,214	
Q2 - 2025	White sugar	BE	MU	744	€ 461,390	€ 617
Q2 - 2025	White sugar	BE	MZ	60	€ 56,840	
Q2 - 2025	White sugar	BG	EG	270	€ 151,200	€ 560
Q2 - 2025	White sugar	BG	MU	25	€ 20,336	
Q2 - 2025	White sugar	DE	MU	453	€ 353,392	€ 767
Q2 - 2025	White sugar	ES	EG	1,632	€ 797,168	€ 488
Q2 - 2025	White sugar	ES	MA	2,960	€ 1,464,857	€ 493
Q2 - 2025	White sugar	ES	MU	1,437	€ 883,080	€ 570
Q2 - 2025	White sugar	FR	DZ	893	€ 390,819	€ 437
Q2 - 2025	White sugar	FR	MA	245	€ 137,229	€ 556
Q2 - 2025	White sugar	FR	MU	3,855	€ 2,327,472	€ 602
Q2 - 2025	White sugar	FR	MZ	40	€ 46,120	
Q2 - 2025	White sugar	FR	TN	12	€ 38,168	
Q2 - 2025	White sugar	GB	MU	2,102	€ 1,834,315	€ 877
Q2 - 2025	White sugar	HU	MU	0	€ 220	
Q2 - 2025	White sugar	IE	MU	4	€ 7,917	
Q2 - 2025	White sugar	IT	EG	1,330	€ 756,118	€ 568
Q2 - 2025	White sugar	IT	MA	863	€ 451,974	€ 513
Q2 - 2025	White sugar	IT	MU	1,276	€ 922,881	€ 726
Q2 - 2025	White sugar	IT	MZ	505	€ 542,907	€ 1,078
Q2 - 2025	White sugar	LT	MU	49	€ 40,285	
Q2 - 2025	White sugar	MT	MU	6	€ 4,860	
Q2 - 2025	White sugar	NL	MZ	144	€ 166,608	
Q2 - 2025	White sugar	SI	DZ	0	€ 233	
Q2 - 2025	White sugar	SI	MU	10	€ 14,038	
Q3 - 2023	Beet molasses	CY	EG	3	€ 1,434	
Q3 - 2023	Beet molasses	DK	EG	0	€ 35	
Q3 - 2023	Beet molasses	ES	EG	31,900	€ 6,559,903	€ 207
Q3 - 2023	Beet molasses	GB	EG	1,919	€ 306,085	
Q3 - 2023	Beet molasses	IT	EG	20,139	€ 4,965,198	€ 247
Q3 - 2023	Beet molasses	SE	EG	2	€ 3,267	
Q3 - 2023	Cane molasses	FI	MZ	23	€ 15,678	
Q3 - 2023	Cane molasses	FR	DZ	72	€ 10,680	
Q3 - 2023	Cane molasses	GB	EG	915	€ 148,641	€ 160
Q3 - 2023	Cane molasses	GB	MZ	3,250	€ 954,536	€ 294
Q3 - 2023	Cane molasses	GR	EG	12	€ 27,057	
Q3 - 2023	Cane molasses	IE	EG	0	€ 474	
Q3 - 2023	Cane molasses	IT	DZ	2,821	€ 746,382	€ 265
Q3 - 2023	Cane molasses	NL	EG	0	€ 225	
Q3 - 2023	Cane molasses	NL	MZ	1	€ 419	
Q3 - 2023	Cane molasses	PT	MZ	3,151	€ 969,464	€ 308
